Sides
# Name, List
Frozen Vegetables	,Frozen Vegetables
Green Beans			,Green Beans
Snow Peas			,Snow Peas
Corn				,Corn
Salad				,Salad,Onion,Cucumber,Ranch,Tomato,Croutons
Carrots				,Carrots
