Starches
# Name, List
Rice a Roni			,Rice a Roni
Pasta Roni			,Pasta Roni
Mac n' cheese		,Mac n' cheese
Baked Potatoes		,Russet Potatoes
Mashed Potatoes		,Russet Potatoes
Cheesy Potatoes		,Golden Potatoes
Broiled Potatoes	,Red Potatoes
Tator Tots			,Tator Tots
Baked Fries			,Baked Fries
Dinner Rolls		,Dinner Rolls
